dpf_ko,dose_ko,x_fish_ko,x_dead_ko,percent_dead_ko,hatched_ko,percent_hatched_ko,abnormalities_ko,percent_abnormalities_ko,dpf_ab,dose_ab,x_fish_ab,x_dead_ab,percent_dead_ab,hatched_ab,percent_hatched_ab,abnormalities_ab,percent_abnormalities_ab
3,0.25,60,0,26.66666667,44,100,na,na,3,0.25,60,0,0,59,98.33333333,na,na
3,0.5,50,0,26,37,100,na,na,3,0.5,60,0,3.333333333,56,96.55172414,na,na
3,2,50,0,20,40,100,na,na,3,2,60,0,8.333333333,45,81.81818182,na,na
3,8,50,12,62,1,5.263157895,na,na,3,8,60,47,91.66666667,na,na,na,na
3,16,60,60,100,na,na,na,na,3,16,60,60,100,na,na,na,na
4,0,68,0,22.05882353,53,100,na,na,4,0,60,0,0,60,100,na ,na 
4,0.25,60,0,26.66666667,44,100,na,na,4,0.25,60,0,0,60,100,na ,na 
4,0.5,50,0,26,37,100,na,na,4,0.5,60,0,3.333333333,58,100,na ,na 
4,2,50,0,20,40,100,na,na,4,2,60,1,10,54,100,na ,na 
4,8,50,7,76,12,100,na,na,4,8,60,4,98.33333333,na,na,na ,na 
4,16,60,60,100,na,na,na,na,4,16,60,60,100,na,na,na,na
5,0,68,0,22.05882353,68,100,1,1.886792453,5,0,60,0,0,60,100,2,3.333333333
5,0.25,60,0,26.66666667,60,100,2,4.545454545,5,0.25,60,0,0,60,100,4,6.666666667
5,0.5,50,0,26,50,100,1,2.702702703,5,0.5,60,0,3.333333333,58,100,9,15.51724138
5,2,50,0,20,50,100,40,100,5,2,60,0,10,54,100,50,92.59259259
5,8,50,12,100,50,na,na,na,5,8,60,2,100,na,na,na,na
5,16,60,60,100,60,na,na,na,5,16,60,60,100,na,na,na,na
0,0,60,na,na,na,na,na,na,0,0,60,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na,0,0.25,60,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na,0,0.5,60,na,na,na,na,na,na
0,2,60,na,na,na,na,na,na,0,2,60,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na,0,8,60,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na,0,16,60,na,na,na,na,na,na
